"","theta","I","I.meas","ID"
"1",12.01,220.833333333333,265,1079
"2",12.02,230.833333333333,277,1079
"3",12.03,225,270,1079
"4",12.04,225.833333333333,271,1079
"5",12.05,211.666666666667,254,1079
"6",12.06,221.666666666667,266,1079
"7",12.07,203.333333333333,244,1079
"8",12.08,209.166666666667,251,1079
"9",12.09,200,240,1079
"10",12.1,208.333333333333,250,1079
"11",12.11,204.166666666667,245,1079
"12",12.12,207.5,249,1079
"13",12.13,220.833333333333,265,1079
"14",12.14,200,240,1079
"15",12.15,205,246,1079
"16",12.16,181.666666666667,218,1079
"17",12.17,199.166666666667,239,1079
"18",12.18,202.5,243,1079
"19",12.19,194.166666666667,233,1079
"20",12.2,200,240,1079
"21",12.21,199.166666666667,239,1079
"22",12.22,201.666666666667,242,1079
"23",12.23,215,258,1079
"24",12.24,208.333333333333,250,1079
"25",12.25,226.666666666667,272,1079
"26",12.26,194.166666666667,233,1079
"27",12.27,198.333333333333,238,1079
"28",12.28,215.833333333333,259,1079
"29",12.29,219.166666666667,263,1079
"30",12.3,221.666666666667,266,1079
"31",12.31,217.5,261,1079
"32",12.32,200,240,1079
"33",12.33,210.833333333333,253,1079
"34",12.34,214.166666666667,257,1079
"35",12.35,210.833333333333,253,1079
"36",12.36,202.5,243,1079
"37",12.37,235,282,1079
"38",12.38,195,234,1079
"39",12.39,195,234,1079
"40",12.4,197.5,237,1079
"41",12.41,198.333333333333,238,1079
"42",12.42,193.333333333333,232,1079
"43",12.43,225.833333333333,271,1079
"44",12.44,202.5,243,1079
"45",12.45,224.166666666667,269,1079
"46",12.46,197.5,237,1079
"47",12.47,224.166666666667,269,1079
"48",12.48,213.333333333333,256,1079
"49",12.49,240,288,1079
"50",12.5,192.5,231,1079
"51",12.51,218.333333333333,262,1079
"52",12.52,205.833333333333,247,1079
"53",12.53,207.5,249,1079
"54",12.54,199.166666666667,239,1079
"55",12.55,215.833333333333,259,1079
"56",12.56,190.833333333333,229,1079
"57",12.57,215.833333333333,259,1079
"58",12.58,201.666666666667,242,1079
"59",12.59,209.166666666667,251,1079
"60",12.6,199.166666666667,239,1079
"61",12.61,225,270,1079
"62",12.62,186.666666666667,224,1079
"63",12.63,193.333333333333,232,1079
"64",12.64,208.333333333333,250,1079
"65",12.65,201.666666666667,242,1079
"66",12.66,190,228,1079
"67",12.67,202.5,243,1079
"68",12.68,221.666666666667,266,1079
